Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
414,NP1,,,
437,NP2,,,
563,NP3,,,
565,NP4,,,
672,NP5,,,
792,NP6,,,
793,NP7,,,
793,NP8,,,
806,NP9,,,
849,NP10,,,
1063,NP11,,,
1103,NP12,,,
1108,NP13,,,
1114,NP14,,,
1146,NP15,,,
1148,NP16,,,
1194,NP17,,,
1197,NP18,,,
1199,NP19,,,
1255,NP20,,,
1382,NP21,,,
1549,NP22,,,
1579,NP23,,,
1633,NP24,,,
1653,NP25,,,
1993,NP26,,,
2070,NP27,,,
2247,NP28,,,
2283,NP29,,,
2283,NP30,,,
2373,NP31,,,
2473,NP32,,,
2705,NP33,,,
2709,NP34,,,
2881,NP35,,,
2913,NP36,,,
2990,NP37,,,
