Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
450,NP1,,,
510,NP2,,,
519,NP3,,,
525,NP4,,,
578,NP5,,,
584,NP6,,,
598,NP7,,,
607,NP8,,,
671,NP9,,,
700,NP10,,,
705,NP11,,,
733,NP12,,,
827,NP13,,,
841,NP14,,,
960,NP15,,,
960,NP16,,,
963,NP17,,,
972,NP18,,,
1007,NP19,,,
1033,NP20,,,
1065,NP21,,,
1075,NP22,,,
1094,NP23,,,
1111,NP24,,,
1131,NP25,,,
1173,NP26,,,
1256,NP27,,,
1265,NP28,,,
1287,NP29,,,
1307,NP30,,,
1324,NP31,,,
1407,NP32,,,
1557,NP33,,,
1961,NP34,,,
2172,NP35,,,
2484,NP36,,,
2549,NP37,,,
2692,NP38,,,
