Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
887,NP1,,,
926,NP2,,,
941,NP3,,,
1017,NP4,,,
1018,NP5,,,
1045,NP6,,,
1129,NP7,,,
1148,NP8,,,
1155,NP9,,,
1196,NP10,,,
1234,NP11,,,
1291,NP12,,,
1353,NP13,,,
1389,NP14,,,
1609,NP15,,,
1721,NP16,,,
1761,NP17,,,
1795,NP18,,,
1803,NP19,,,
1842,NP20,,,
2024,NP21,,,
2072,NP22,,,
2172,NP23,,,
2195,NP24,,,
2228,NP25,,,
2291,NP26,,,
2373,NP27,,,
2441,NP28,,,
2692,NP29,,,
2752,NP30,,,
2767,NP31,,,
2767,NP32,,,
2803,NP33,,,
2840,NP34,,,
2997,NP35,,,
