Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
266,NP1,,,
308,NP2,,,
381,NP3,,,
383,NP4,,,
387,NP5,,,
426,NP6,,,
434,NP7,,,
438,NP8,,,
439,NP9,,,
439,NP10,,,
439,NP11,,,
439,NP12,,,
439,NP13,,,
439,NP14,,,
439,NP15,,,
442,NP16,,,
442,NP17,,,
442,NP18,,,
442,NP19,,,
442,NP20,,,
442,NP21,,,
445,NP22,,,
445,NP23,,,
448,NP24,,,
450,NP25,,,
450,NP26,,,
451,NP27,,,
459,NP28,,,
595,NP29,,,
671,NP30,,,
780,NP31,,,
993,NP32,,,
1183,NP33,,,
1714,NP34,,,
2098,NP35,,,
2282,NP36,,,
2817,NP37,,,
