Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
334,NP1,,,
465,NP2,,,
494,NP3,,,
500,NP4,,,
538,NP5,,,
547,NP6,,,
564,NP7,,,
598,NP8,,,
647,NP9,,,
664,NP10,,,
726,NP11,,,
816,NP12,,,
886,NP13,,,
1018,NP14,,,
1098,NP15,,,
1169,NP16,,,
1199,NP17,,,
1231,NP18,,,
1287,NP19,,,
1348,NP20,,,
1441,NP21,,,
1458,NP22,,,
1638,NP23,,,
1653,NP24,,,
1662,NP25,,,
1708,NP26,,,
1723,NP27,,,
1794,NP28,,,
1964,NP29,,,
2098,NP30,,,
2205,NP31,,,
2344,NP32,,,
2499,NP33,,,
2577,NP34,,,
2743,NP35,,,
