Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
438,NP1,,,
452,NP2,,,
456,NP3,,,
538,NP4,,,
573,NP5,,,
604,NP6,,,
788,NP7,,,
793,NP8,,,
851,NP9,,,
1026,NP10,,,
1088,NP11,,,
1089,NP12,,,
1108,NP13,,,
1135,NP14,,,
1199,NP15,,,
1360,NP16,,,
1360,NP17,,,
1407,NP18,,,
1471,NP19,,,
1573,NP20,,,
1633,NP21,,,
1644,NP22,,,
1652,NP23,,,
2098,NP24,,,
2123,NP25,,,
2348,NP26,,,
2367,NP27,,,
2551,NP28,,,
2567,NP29,,,
2569,NP30,,,
2723,NP31,,,
2743,NP32,,,
2910,NP33,,,
2990,NP34,,,
3037,NP35,,,
