timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
825,13,4.0,0.048260525102079545,0.24303167451103555,0.0,0.9769772729770643,NP1
825,13,10.0,0.02299327273974856,-1.0,2.2755415131884717E-4,0.0,NP1
1065,17,4.0,0.050020281999493786,1.0,0.0,0.97996134861673,NP2
1074,17,4.0,0.05168479147863163,1.0,0.0,0.9775008533090616,NP3
1129,18,4.0,0.04184318911624497,0.015293388833806926,0.0,0.9822950741890826,NP4
1129,18,14.0,0.013600481969516512,-1.0,3.526629960660873E-5,0.0,NP4
1386,22,4.0,0.03760438219386755,1.0,0.0,0.9813779688574654,NP5
1393,22,4.0,0.06781977288559916,1.0,0.0,0.9720984354987788,NP6
1407,23,4.0,0.03722180707078826,1.0,0.0,0.9828141116615092,NP7
1493,24,4.0,0.02804647871445188,1.0,0.0,0.9867213960957626,NP8
1534,25,5.0,0.06126433952546591,0.3087153719171317,0.0,0.9767857612762862,NP9
1534,25,10.0,0.029514381929373456,-1.0,2.94874124035034E-10,0.0,NP9
1634,26,4.0,0.04068398821908332,1.0,0.0,0.9826393877672824,NP10
1670,27,4.0,0.05468071736660692,1.0,0.0,0.9755839330008538,NP11
1796,29,4.0,0.0058017216340227095,1.0,0.0,0.9973228322985104,NP12
1936,31,4.0,0.06457895480694373,1.0,0.0,0.9733552990688008,NP13
1989,32,4.0,0.06349912233305073,0.021076748588873095,0.0,0.9700632967809122,NP14
1989,32,9.0,0.0314719459069531,-1.0,1.5789627850376022E-9,0.0,NP14
2007,32,4.0,0.04027185363979191,1.0,0.0,0.9813014570292222,NP15
2130,34,4.0,0.03664993274294351,1.0,0.0,0.982034715492087,NP16
2198,36,4.0,0.04750059913748391,1.0,0.0,0.9773971110484261,NP17
2358,38,4.0,0.03958439280269676,1.0,0.0,0.9814802614556946,NP18
2683,43,4.0,0.037305051585091675,1.0,0.0,0.9822842155791254,NP19
2795,45,4.0,0.03641330842402388,1.0,0.0,0.9843185801508885,NP20
2817,46,4.0,0.03364621656280251,1.0,0.0,0.9851557328058875,NP21
2913,47,4.0,0.07013268279653809,0.1644050810560657,0.0,0.9719418276382873,NP22
2913,47,10.0,0.029514381929373456,-1.0,1.1705621684146278E-5,0.0,NP22
2997,49,4.0,0.06521535514601957,1.0,0.0,0.9698835528255678,NP23
3032,49,4.0,0.09770461729560113,0.05880453067587468,0.0,0.9619065595984689,NP24
3032,49,11.0,0.03978863498287072,-1.0,1.214491757911818E-17,0.0,NP24
3040,49,4.0,0.11261319677128201,1.0,0.0,0.9497267773214229,NP25
