Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
410,NP1,,,
596,NP2,,,
602,NP3,,,
604,NP4,,,
604,NP5,,,
636,NP6,,,
690,NP7,,,
721,NP8,,,
729,NP9,,,
760,NP10,,,
812,NP11,,,
841,NP12,,,
845,NP13,,,
845,NP14,,,
845,NP15,,,
845,NP16,,,
853,NP17,,,
873,NP18,,,
873,NP19,,,
879,NP20,,,
879,NP21,,,
896,NP22,,,
898,NP23,,,
898,NP24,,,
1150,NP25,,,
1194,NP26,,,
1362,NP27,,,
1546,NP28,,,
1597,NP29,,,
1775,NP30,,,
2136,NP31,,,
2157,NP32,,,
2453,NP33,,,
2520,NP34,,,
2720,NP35,,,
2990,NP36,,,
