timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
253,4,4.0,0.03779191901783394,0.1174024175155058,0.0,0.9844339524518932,NP1
253,4,9.0,0.005150160632108717,-1.0,0.13037250287920849,0.0,NP1
296,4,4.0,0.049704673920716966,1.0,0.0,0.9763474593382275,NP2
304,4,4.0,0.0378607782882443,0.21079297345308826,0.0,0.9833917946620696,NP3
304,4,13.0,0.010293526311473166,-1.0,2.2166762132472923E-4,0.0,NP3
344,5,4.0,0.06223096489902313,1.0,0.0,0.9711791230295022,NP4
359,5,4.0,0.06597359244804052,1.0,0.0,0.971328549584219,NP5
369,6,4.0,0.07431956066764886,0.05432913153576347,0.0,0.9669498653945449,NP6
369,6,15.0,0.007506094174596591,-1.0,8.652797499018395E-6,0.0,NP6
374,6,5.0,0.08432194620423218,0.027063982453413286,0.0,0.9608027543670581,NP7
374,6,17.0,0.01538812107101564,-1.0,3.5255604449969187E-4,0.0,NP7
374,6,14.0,0.015538220208385118,-1.0,4.025553123750238E-4,0.0,NP7
379,6,4.0,0.10989598656343416,1.0,0.0,0.9574412581005411,NP8
379,6,7.0,0.0731927312017647,1.0,0.0,0.9660303813863031,NP9
386,6,6.0,0.14325880174135144,1.0,0.0,0.9384378336213194,NP10
386,6,5.0,0.10353277072404861,1.0,0.0,0.951773947003997,NP11
386,6,4.0,0.10494693407064229,1.0,0.0,0.9498497973783497,NP12
390,6,4.0,0.15272860917535752,1.0,0.0,0.9339439779009572,NP13
390,6,5.0,0.13987513261242,1.0,0.0,0.9353094070391748,NP14
406,6,4.0,0.07338455066569942,1.0,0.0,0.9690667580100767,NP15
454,7,4.0,0.1226963688848326,1.0,0.0,0.9427926868730749,NP16
524,8,5.0,0.1691370937140031,1.0,0.0,0.93369732517676,NP17
648,10,4.0,0.15594983888965055,1.0,0.0,0.9255877885213444,NP18
985,16,4.0,0.057070268547871825,1.0,0.0,0.9730972654604111,NP19
1359,22,4.0,0.030530912120457453,1.0,0.0,0.9854890879298206,NP20
2121,34,4.0,0.06540203550478603,1.0,0.0,0.9681139320938603,NP21
2123,34,4.0,0.04005470237044965,1.0,0.0,0.9814817912250331,NP22
