Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
33456,NP1,3,34200,18
33456,NP2,3,34200,18
33456,NP3,3,34200,18
33456,NP4,3,34200,18
33456,NP5,3,34200,18
33456,NP6,3,34200,18
33456,NP7,3,34200,18
33456,NP8,3,34200,18
33456,NP9,3,34200,18
33456,NP10,3,34200,18
33456,NP11,3,34200,18
33456,NP12,4,70200,38
33456,NP13,3,34200,18
33456,NP14,3,34200,18
33456,NP15,3,34200,18
33456,NP16,3,34200,18
33456,NP17,3,34200,18
33456,NP18,3,34200,18
33456,NP19,3,34200,18
33456,NP20,3,34200,18
33456,NP21,3,34200,18
33456,NP22,3,34200,18
33456,NP23,3,34200,18
33456,NP24,4,70200,38
33456,NP25,3,34200,18
33456,NP26,3,34200,18
33456,NP27,3,34200,18
33456,NP28,3,34200,18
33456,NP29,3,34200,18
33456,NP30,,,
33456,NP31,3,34200,18
79902,NP32,4,81000,44
79902,NP33,4,81000,44
79902,NP34,4,81000,44
79902,NP35,4,81000,44
79902,NP36,,,
79902,NP37,4,81000,44
79902,NP38,3,81000,44
79902,NP39,4,81000,44
79902,NP40,3,81000,44
79902,NP41,4,81000,44
79902,NP42,4,81000,44
79902,NP43,4,81000,44
79902,NP44,4,81000,44
79902,NP45,,,
79902,NP46,4,81000,44
79902,NP47,3,81000,44
79902,NP48,4,81000,44
79902,NP49,,,
79902,NP50,,,
79902,NP51,3,81000,44
79902,NP52,4,81000,44
79902,NP53,4,81000,44
79902,NP54,4,81000,44
