Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
79,NP1,,,
537,NP2,,,
544,NP3,,,
569,NP4,,,
570,NP5,,,
576,NP6,,,
576,NP7,,,
598,NP8,,,
646,NP9,,,
768,NP10,,,
772,NP11,,,
781,NP12,,,
785,NP13,,,
785,NP14,,,
852,NP15,,,
865,NP16,,,
880,NP17,,,
896,NP18,,,
1018,NP19,,,
1063,NP20,,,
1094,NP21,,,
1112,NP22,,,
1135,NP23,,,
1238,NP24,,,
1290,NP25,,,
1296,NP26,,,
1465,NP27,,,
1494,NP28,,,
1836,NP29,,,
1886,NP30,,,
1926,NP31,,,
2003,NP32,,,
2080,NP33,,,
2348,NP34,,,
2821,NP35,,,
2908,NP36,,,
