@relation 'Adam: -C -1'

@attribute class- {0,1}
@attribute x_att numeric
@attribute y_att numeric

@data


1,612.781436,135.615531
1,611.216914,167.633715
1,626.894319,139.330544
1,531.76485,106.90898
1,567.296312,112.64334
1,596.154788,115.673895
1,597.524578,98.461152
1,632.222259,132.270356
1,600.322087,101.327233
1,561.265374,107.893554
1,583.730966,122.096307
1,580.024758,160.926572
1,549.175473,81.924487
1,585.744534,105.607142
1,578.197698,126.02161
1,572.808308,94.363833
1,544.041317,131.910981
1,542.877895,109.842968
0,368.031052,89.152583
0,358.095411,118.404886
0,321.117425,67.308177
0,383.361263,54.582216
0,369.47611,65.368584
0,338.015612,81.648293
0,384.807781,119.045468
0,345.3409,48.556014
1,237.225433,62.760452
1,152.613128,41.471265
1,266.168623,60.134505
1,259.962565,28.470484
1,215.526075,50.717824
1,221.131758,45.583009
1,201.354712,78.81989
1,176.221555,45.099219
1,211.175063,70.023446
1,217.990294,15.328649
1,207.620787,60.93173
1,210.138316,114.194203
1,183.030489,72.127882
1,119.384727,84.069857
1,211.102043,16.843607
1,184.191987,15.682657
1,123.608156,29.088443
1,202.818756,0.759403
1,179.624704,61.856372
1,153.949882,39.772608
1,110.189373,75.880235
1,180.719588,119.486514
1,171.130883,52.384677
1,200.044768,61.512176
1,182.17502,34.598076
1,142.577461,22.758584
1,175.52138,23.301598
1,161.76148,29.28848
1,158.308907,29.034711
1,113.239148,33.666864
1,178.443731,28.977668
1,198.253832,28.600141
1,147.120948,46.276352
1,148.311893,64.453734
1,167.310877,45.19821
1,155.999239,66.221414
1,161.737402,63.156742
1,161.285138,60.118317
1,151.363587,12.836916
1,85.926868,16.622369
1,127.522361,21.319966
1,171.142848,52.481879
1,129.521974,12.587442
1,113.777305,33.870447
1,130.765712,47.903092
1,167.490993,127.334045
1,185.371225,48.21443
1,128.664309,90.119093
1,139.906525,75.879794
1,175.542992,34.89537
1,163.784656,19.540028
1,102.690154,20.000844
1,106.907351,48.798826
1,143.421989,62.359317
1,132.552695,17.426469
1,140.876138,41.207635
1,105.543343,97.975515
1,170.658003,103.560144
1,150.786189,128.108149
1,99.807956,122.683914
1,119.237177,108.225572
1,143.504739,91.171189
1,113.00398,127.071063
1,150.616639,46.563643
1,118.276253,6.56844
