@relation 'Adam: -C -1'

@attribute class- {0,1}
@attribute x_att numeric
@attribute y_att numeric

@data
1,204.378347,80.44512
1,181.414982,61.689819
1,178.757209,52.004687
1,215.827801,6.953848
1,177.622896,37.153083
1,213.911877,70.289899
1,211.257107,58.487027
1,204.365926,40.007957
1,174.848409,85.7032
1,170.05772,58.381117
1,160.946682,29.529631
1,210.958802,79.142394
1,178.116125,79.050763
1,201.562259,52.823317
1,205.613135,70.746277
1,203.683467,59.405787
1,202.971282,25.974609
1,237.663954,70.657139
1,238.620393,54.238945
1,212.740293,35.104575
1,189.075953,102.050071
1,225.757846,52.944856
1,188.362888,84.440593
1,206.057423,66.215621
1,222.337504,87.167417
1,153.37791,89.236833
1,165.958166,31.592933
1,192.589436,41.322731
1,202.637314,24.17467
1,172.413988,64.61742
1,158.102897,110.378714
1,195.933763,97.301424
1,173.043281,79.536244
1,223.603526,88.4901
1,176.162135,51.557212
1,188.711885,42.254115
1,179.708716,71.108714
1,216.277674,63.650347
1,157.650253,25.712188
1,208.951878,77.033113
1,186.175579,23.600521
1,145.279798,51.36271
1,215.961364,79.992582
1,189.907452,72.477969
1,211.156441,66.303644
1,209.023658,76.182109
1,206.606993,5.8912
1,185.778408,51.226374
1,222.789394,20.748566
1,160.38563,89.3797
1,207.649733,74.944077
1,199.699784,89.287208
1,225.621165,65.024735
1,191.756121,55.871596
1,180.875874,90.695003
1,222.934731,68.811378
1,255.507773,55.946659
1,220.898206,48.497926
1,231.991136,41.906135
1,233.118952,67.455698
1,217.695312,65.322325
1,196.337105,50.345715
1,226.682977,72.355449
1,180.26005,84.411366
1,202.812927,87.570284
1,215.808954,106.527741
1,201.833964,99.991169
1,203.053037,38.605726
1,216.118003,79.105258
1,214.51214,36.430764
1,206.270238,76.493112
1,216.419808,62.224471
1,188.269911,85.772918
1,184.891923,68.027898
1,225.3612,110.490426
1,198.38365,71.862106
1,165.705589,90.524905
1,198.447973,71.005563
1,218.191212,39.252188
1,198.878205,36.294849
1,178.493626,98.640048
1,236.026258,27.735232
1,203.714075,56.590165
1,226.378787,0.333443
1,182.56458,57.264783
1,194.05546,53.405948
1,165.361545,24.630742
1,230.884621,99.412759
1,184.051783,45.888401
1,155.615921,53.114189
1,180.788015,3.408667
1,209.516489,26.773251
1,196.19448,67.838191
1,244.861216,89.196318
1,172.271854,71.208891
1,198.525451,66.941382
1,168.596258,18.462671
1,167.186063,6.882844
1,214.173387,34.239804
1,173.295794,6.905775
1,213.563416,18.777288
1,206.797962,26.150815
1,223.555505,48.370104
1,139.147059,62.499901
1,158.329766,98.855903
1,216.795908,92.312036
1,181.823229,43.713365
1,166.669579,86.901388
1,141.504292,82.931185
1,213.905266,62.014296
1,194.779697,28.898541
1,171.86142,22.009219
1,211.774173,71.304384
1,202.11662,52.310645
1,187.973503,72.465404
1,203.996543,6.293972
1,187.242741,49.809836
1,174.616639,110.992786
1,168.972508,39.408112
1,211.269127,78.637885
1,220.24863,46.911653
1,239.322777,28.058357
1,223.696474,41.396742
1,201.264452,6.408557
1,193.241899,52.970117
1,161.194761,71.477473
1,158.401881,83.631438
1,190.24767,117.327426
1,195.858366,92.567908
1,197.14448,44.096428
1,261.359351,32.449274
1,234.265816,60.313258
1,139.865277,1.532388
1,194.691517,25.497832
1,245.704717,56.893977
1,229.251021,66.951149
1,234.347933,41.887124
1,220.697817,29.650739
1,213.246663,50.439931
1,231.323597,73.46216
1,187.650354,52.465262
1,150.103909,62.345527
1,152.234251,28.142191
1,198.214795,5.765127
1,221.873224,18.39297
1,181.815184,64.497833
1,212.711538,52.359882
1,219.527664,44.137683
1,227.724659,87.508478
1,176.635521,80.640006
1,232.352552,124.974686
1,200.886503,99.462732
1,208.685721,45.073438
1,204.922629,60.748133
1,194.685622,7.736939
1,235.929613,33.188624
1,190.798355,55.880585
1,230.957242,22.670964
1,232.592944,65.416064
1,177.634683,65.100884
1,227.796171,62.22532
1,240.253332,35.412238
1,221.684682,71.616726
1,194.435513,74.489206
1,237.225433,62.760452
1,152.613128,41.471265
1,266.168623,60.134505
1,259.962565,28.470484
1,215.526075,50.717824
1,221.131758,45.583009
1,201.354712,78.81989
1,176.221555,45.099219
1,211.175063,70.023446
1,217.990294,15.328649
1,207.620787,60.93173
1,210.138316,114.194203
1,183.030489,72.127882
1,119.384727,84.069857
1,211.102043,16.843607
1,184.191987,15.682657
1,123.608156,29.088443
1,202.818756,0.759403
1,179.624704,61.856372
1,153.949882,39.772608
1,110.189373,75.880235
1,180.719588,119.486514
1,171.130883,52.384677
1,200.044768,61.512176
1,182.17502,34.598076
1,142.577461,22.758584
1,175.52138,23.301598
1,161.76148,29.28848
1,158.308907,29.034711
1,113.239148,33.666864
1,178.443731,28.977668
1,198.253832,28.600141
1,147.120948,46.276352
1,148.311893,64.453734
1,167.310877,45.19821
1,155.999239,66.221414
1,161.737402,63.156742
1,161.285138,60.118317
1,151.363587,12.836916
1,85.926868,16.622369
1,127.522361,21.319966
1,171.142848,52.481879
1,129.521974,12.587442
1,113.777305,33.870447
1,130.765712,47.903092
1,167.490993,127.334045
1,185.371225,48.21443
1,128.664309,90.119093
1,139.906525,75.879794
1,175.542992,34.89537
1,163.784656,19.540028
1,102.690154,20.000844
1,106.907351,48.798826
1,143.421989,62.359317
1,132.552695,17.426469
1,140.876138,41.207635
1,105.543343,97.975515
1,170.658003,103.560144
1,150.786189,128.108149
1,99.807956,122.683914
1,119.237177,108.225572
1,143.504739,91.171189
1,113.00398,127.071063
