Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
413,NP1,,,
485,NP2,,,
537,NP3,,,
538,NP4,,,
554,NP5,,,
581,NP6,,,
851,NP7,,,
916,NP8,,,
1026,NP9,,,
1108,NP10,,,
1192,NP11,,,
1192,NP12,,,
1192,NP13,,,
1194,NP14,,,
1199,NP15,,,
1218,NP16,,,
1229,NP17,,,
1290,NP18,,,
1384,NP19,,,
1386,NP20,,,
1481,NP21,,,
1486,NP22,,,
1508,NP23,,,
1534,NP24,,,
1651,NP25,,,
1692,NP26,,,
1694,NP27,,,
1835,NP28,,,
1881,NP29,,,
2329,NP30,,,
2342,NP31,,,
2373,NP32,,,
2577,NP33,,,
2678,NP34,,,
2942,NP35,,,
2975,NP36,,,
