Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
550,NP1,,,
614,NP2,,,
617,NP3,,,
640,NP4,,,
727,NP5,,,
732,NP6,,,
742,NP7,,,
745,NP8,,,
789,NP9,,,
872,NP10,,,
887,NP11,,,
897,NP12,,,
933,NP13,,,
933,NP14,,,
933,NP15,,,
1005,NP16,,,
1010,NP17,,,
1045,NP18,,,
1068,NP19,,,
1088,NP20,,,
1111,NP21,,,
1112,NP22,,,
1112,NP23,,,
1112,NP24,,,
1112,NP25,,,
1131,NP26,,,
1131,NP27,,,
1131,NP28,,,
1131,NP29,,,
1131,NP30,,,
1158,NP31,,,
1173,NP32,,,
1189,NP33,,,
1258,NP34,,,
1265,NP35,,,
1287,NP36,,,
1363,NP37,,,
1428,NP38,,,
1439,NP39,,,
1473,NP40,,,
1495,NP41,,,
1495,NP42,,,
1569,NP43,,,
1670,NP44,,,
1682,NP45,,,
1858,NP46,,,
2342,NP47,,,
2453,NP48,,,
